year,income,Subregion,avg_financial_protection_gap
2011,Low,Eastern Africa,14.715838748333335
2011,Low,Central Africa,39.67705726999999
2011,Low,Northern Africa,45.93135070999999
2011,Low,Western Africa,28.4469332
2011,Lower-middle,Eastern Africa,16.7983384125
2011,Lower-middle,Central Africa,24.844718296666667
2011,Lower-middle,Northern Africa,33.67355155999999
2011,Lower-middle,Southern Africa,17.220825200000007
2011,Lower-middle,Western Africa,29.727256500000003
2011,Upper-middle,Central Africa,22.22833538
2011,Upper-middle,Northern Africa,12.270875929999999
2011,Upper-middle,Southern Africa,33.0715332
2012,Low,Eastern Africa,17.89975357
2012,Low,Central Africa,38.754606245000005
2012,Low,Northern Africa,45.45468902999998
2012,Low,Western Africa,32.20089667285714
2012,Lower-middle,Eastern Africa,16.8021292675
2012,Lower-middle,Central Africa,28.29141235
2012,Lower-middle,Northern Africa,32.5090293875
2012,Lower-middle,Southern Africa,14.968517299999995
2012,Lower-middle,Western Africa,29.113209859999994
2012,Upper-middle,Central Africa,20.677613259999998
2012,Upper-middle,Northern Africa,6.660544395000002
2012,Upper-middle,Southern Africa,31.613182070000008
2013,Low,Eastern Africa,18.260019301428567
2013,Low,Central Africa,31.938146595000003
2013,Low,Northern Africa,54.83428192000001
2013,Low,Western Africa,26.3616247175
2013,Lower-middle,Eastern Africa,17.072149752500003
2013,Lower-middle,Central Africa,30.186003685000006
2013,Lower-middle,Northern Africa,29.718727112499998
2013,Lower-middle,Southern Africa,5.55262089
2013,Lower-middle,Western Africa,29.990892410000004
2013,Upper-middle,Central Africa,25.906388285
2013,Upper-middle,Northern Africa,7.912963869999999
2013,Upper-middle,Southern Africa,33.18034743999999
2014,High,Eastern Africa,7.476484300000003
2014,Low,Eastern Africa,18.15225465
2014,Low,Central Africa,31.092317580000003
2014,Low,Northern Africa,47.03178406000001
2014,Low,Western Africa,22.70142293
2014,Lower-middle,Eastern Africa,15.844229697500005
2014,Lower-middle,Central Africa,30.085528375000003
2014,Lower-middle,Northern Africa,27.4758005125
2014,Lower-middle,Southern Africa,5.853960990000001
2014,Lower-middle,Western Africa,29.853741508571428
2014,Upper-middle,Central Africa,26.02562237
2014,Upper-middle,Northern Africa,11.094786645000001
2014,Upper-middle,Southern Africa,30.18024445000001
2015,High,Eastern Africa,6.072475429999997
2015,Low,Eastern Africa,15.778364181428572
2015,Low,Central Africa,32.75046158000001
2015,Low,Northern Africa,59.40106964
2015,Low,Western Africa,25.010814427500005
2015,Lower-middle,Eastern Africa,22.571669896666666
2015,Lower-middle,Central Africa,33.146562575
2015,Lower-middle,Northern Africa,28.799544335
2015,Lower-middle,Southern Africa,9.654791835
2015,Lower-middle,Western Africa,27.087718419999995
2015,Upper-middle,Central Africa,27.02607917500001
2015,Upper-middle,Northern Africa,10.455450059999999
2015,Upper-middle,Southern Africa,29.576728820000007
2016,High,Eastern Africa,5.307018280000001
2016,Low,Eastern Africa,18.392234257142857
2016,Low,Central Africa,35.177812575000004
2016,Low,Northern Africa,51.18589019999999
2016,Low,Western Africa,26.825045823750003
2016,Lower-middle,Eastern Africa,15.334612844999999
2016,Lower-middle,Central Africa,38.822155
2016,Lower-middle,Northern Africa,30.83603000499999
2016,Lower-middle,Southern Africa,9.929018975
2016,Lower-middle,Western Africa,27.449738637142854
2016,Upper-middle,Central Africa,25.820620534999993
2016,Upper-middle,Northern Africa,12.694814684999997
2016,Upper-middle,Southern Africa,28.160778049999998
2017,High,Eastern Africa,4.599426269999999
2017,Low,Eastern Africa,16.272523334285715
2017,Low,Central Africa,38.14757918999999
2017,Low,Northern Africa,52.546424870000024
2017,Low,Western Africa,26.5426337725
2017,Lower-middle,Eastern Africa,13.607363225000002
2017,Lower-middle,Central Africa,42.02606201500001
2017,Lower-middle,Northern Africa,29.73673248
2017,Lower-middle,Southern Africa,14.121013640000008
2017,Lower-middle,Western Africa,27.835279737142855
2017,Upper-middle,Central Africa,27.87683296
2017,Upper-middle,Northern Africa,13.859209059999998
2017,Upper-middle,Southern Africa,27.396938319999997
2018,High,Eastern Africa,6.206846240000004
2018,Low,Eastern Africa,16.10669493625
2018,Low,Central Africa,33.024410245
2018,Low,Northern Africa,46.95339965999999
2018,Low,Western Africa,26.617382526249997
2018,Lower-middle,Eastern Africa,14.577501775000005
2018,Lower-middle,Central Africa,41.259595870000005
2018,Lower-middle,Northern Africa,34.11521244
2018,Lower-middle,Southern Africa,16.247333530000006
2018,Lower-middle,Western Africa,28.635978971428568
2018,Upper-middle,Central Africa,26.606637
2018,Upper-middle,Northern Africa,11.002511025000002
2018,Upper-middle,Southern Africa,26.919609069999993
2019,High,Eastern Africa,6.274925229999997
2019,Low,Eastern Africa,18.08046698375
2019,Low,Central Africa,42.130823135
2019,Low,Northern Africa,47.50370788999999
2019,Low,Western Africa,26.94348979
2019,Lower-middle,Eastern Africa,14.027654647499997
2019,Lower-middle,Central Africa,37.180410384999995
2019,Lower-middle,Northern Africa,31.233489037500004
2019,Lower-middle,Southern Africa,13.143085479999996
2019,Lower-middle,Western Africa,26.47693852
2019,Upper-middle,Central Africa,28.43076419499999
2019,Upper-middle,Northern Africa,12.970144275
2019,Upper-middle,Southern Africa,27.126377110000007
2020,High,Eastern Africa,1.5991115599999972
2020,Low,Eastern Africa,16.15469265
2020,Low,Central Africa,39.71839142
2020,Low,Northern Africa,32.963607790000005
2020,Low,Western Africa,28.52810335375
2020,Lower-middle,Eastern Africa,16.5512442575
2020,Lower-middle,Central Africa,28.533509254999995
2020,Lower-middle,Northern Africa,29.418956755000004
2020,Lower-middle,Southern Africa,8.62218094
2020,Lower-middle,Western Africa,23.82847050428572
2020,Upper-middle,Central Africa,25.470026969999992
2020,Upper-middle,Northern Africa,10.392298700000005
2020,Upper-middle,Southern Africa,23.584663389999996
2021,High,Eastern Africa,6.947519300000003
2021,Low,Eastern Africa,15.316305397499999
2021,Low,Central Africa,39.527645110000016
2021,Low,Northern Africa,38.24506759999999
2021,Low,Western Africa,29.815384865000002
2021,Lower-middle,Eastern Africa,12.746998309999995
2021,Lower-middle,Central Africa,27.109024999999992
2021,Lower-middle,Northern Africa,25.526252747499996
2021,Lower-middle,Southern Africa,6.11725616
2021,Lower-middle,Western Africa,24.26116371142857
2021,Upper-middle,Central Africa,23.229919430000002
2021,Upper-middle,Northern Africa,12.446391104999998
2021,Upper-middle,Southern Africa,20.416744230000006
2022,High,Eastern Africa,9.964771269999993
2022,Low,Eastern Africa,17.240074633749998
2022,Low,Central Africa,32.91058159000001
2022,Low,Northern Africa,22.50963211
2022,Low,Western Africa,31.321097136250003
2022,Lower-middle,Eastern Africa,11.134921549999998
2022,Lower-middle,Central Africa,27.341547965
2022,Lower-middle,Northern Africa,23.069320677500002
2022,Lower-middle,Southern Africa,10.038616179999998
2022,Lower-middle,Western Africa,23.68760599428571
2022,Upper-middle,Central Africa,46.71870421999999
2022,Upper-middle,Northern Africa,20.989826205
2022,Upper-middle,Southern Africa,24.013149260000013
2023,High,Eastern Africa,7.959424969999997
2023,Low,Eastern Africa,14.340720653750001
2023,Low,Central Africa,28.351095200000003
2023,Low,Northern Africa,37.36631392999999
2023,Low,Western Africa,32.490366935
2023,Lower-middle,Eastern Africa,14.396275519999996
2023,Lower-middle,Central Africa,27.810940740000003
2023,Lower-middle,Northern Africa,24.0407266625
2023,Lower-middle,Southern Africa,12.546676640000001
2023,Lower-middle,Western Africa,22.494527815714285
2023,Upper-middle,Central Africa,45.98317718999999
2023,Upper-middle,Northern Africa,25.00216675
2023,Upper-middle,Southern Africa,25.242706299999995
