year,income,Subregion,financial hardship
2012,Upper-middle,Northern Africa,
2012,Upper-middle,Southern Africa,12.19
2013,Low,Eastern Africa,43.44
2013,Low,Central Africa,
2013,Low,Northern Africa,
2013,Low,Southern Africa,56.6
2013,Low,Western Africa,49.46
2013,Lower-middle,Eastern Africa,
2013,Lower-middle,Central Africa,
2013,Lower-middle,Northern Africa,27.13
2013,Lower-middle,Southern Africa,
2013,Lower-middle,Western Africa,
2013,Upper-middle,Eastern Africa,11.39
2013,Upper-middle,Central Africa,
2013,Upper-middle,Northern Africa,
2013,Upper-middle,Southern Africa,
2014,Low,Eastern Africa,
2014,Low,Central Africa,
2014,Low,Northern Africa,39.92
2014,Low,Southern Africa,40.27
2014,Low,Western Africa,51.43000000000001
2014,Lower-middle,Eastern Africa,32.44
2014,Lower-middle,Central Africa,40.49
2014,Lower-middle,Northern Africa,
2014,Lower-middle,Southern Africa,
2014,Lower-middle,Western Africa,
2014,Upper-middle,Eastern Africa,
2014,Upper-middle,Central Africa,
2014,Upper-middle,Northern Africa,
2014,Upper-middle,Southern Africa,21.14
2015,Low,Eastern Africa,25.36
2015,Low,Central Africa,
2015,Low,Northern Africa,
2015,Low,Southern Africa,
2015,Low,Western Africa,48.326666666666675
2015,Lower-middle,Eastern Africa,26.38
2015,Lower-middle,Central Africa,
2015,Lower-middle,Northern Africa,27.9
2015,Lower-middle,Southern Africa,14.06
2015,Lower-middle,Western Africa,35.427499999999995
2015,Upper-middle,Eastern Africa,
2015,Upper-middle,Central Africa,
2015,Upper-middle,Northern Africa,
2015,Upper-middle,Southern Africa,19.39
2016,Low,Eastern Africa,34.99333333333333
2016,Low,Central Africa,
2016,Low,Northern Africa,
2016,Low,Southern Africa,40.1
2016,Low,Western Africa,46.345
2016,Lower-middle,Eastern Africa,
2016,Lower-middle,Central Africa,
2016,Lower-middle,Northern Africa,
2016,Lower-middle,Southern Africa,25.47
2016,Lower-middle,Western Africa,21.14
2016,Upper-middle,Eastern Africa,
2016,Upper-middle,Central Africa,
2016,Upper-middle,Northern Africa,
2016,Upper-middle,Southern Africa,
2017,Low,Eastern Africa,35.89
2017,Low,Central Africa,
2017,Low,Northern Africa,
2017,Low,Southern Africa,
2017,Low,Western Africa,47.36
2017,Lower-middle,Eastern Africa,6.52
2017,Lower-middle,Central Africa,18.08
