year,income,Subregion,min_budget_priority,max_budget_priority,range_budget_priority
2000,High,Eastern Africa,6.83102226,6.83102226,0.0
2000,Low,Eastern Africa,2.4220676399999994,12.027845379999999,9.605777739999999
2000,Low,Central Africa,10.021616940000001,11.398789410000003,1.3771724700000014
2000,Low,Northern Africa,11.77479267,11.77479267,0.0
2000,Low,Southern Africa,6.316649439999999,7.042603489999999,0.7259540500000004
2000,Low,Western Africa,2.4448416200000005,8.368264200000002,5.923422580000002
2000,Lower-middle,Eastern Africa,6.052000519999999,9.155146599999998,3.1031460799999993
2000,Lower-middle,Central Africa,2.2729034399999994,32.571323389999996,30.298419949999996
2000,Lower-middle,Northern Africa,2.51425123,10.54292107,8.02866984
2000,Lower-middle,Southern Africa,2.7385826100000004,9.79427242,7.0556898100000005
2000,Lower-middle,Western Africa,2.3668198600000006,8.959949490000001,6.593129630000001
2000,Upper-middle,Central Africa,2.30962849,5.24128246,2.9316539699999997
2000,Upper-middle,Northern Africa,6.03982067,8.77923775,2.73941708
2000,Upper-middle,Southern Africa,6.879271029999998,18.655965809999998,11.77669478
2001,High,Eastern Africa,8.02577591,8.02577591,0.0
2001,Low,Eastern Africa,2.49895263,11.971966740000001,9.473014110000001
2001,Low,Central Africa,10.725757600000001,11.868776320000002,1.1430187200000006
2001,Low,Northern Africa,11.368736269999996,11.368736269999996,0.0
2001,Low,Southern Africa,6.316649439999999,7.042603489999999,0.7259540500000004
2001,Low,Western Africa,2.52350521,8.34352493,5.8200197199999995
2001,Lower-middle,Eastern Africa,4.11416817,8.79931068,4.6851425099999995
2001,Lower-middle,Central Africa,3.3190190799999995,7.026926040000001,3.7079069600000016
2001,Lower-middle,Northern Africa,2.42193055,10.575681690000001,8.15375114
2001,Lower-middle,Southern Africa,5.968254570000001,9.284857749999999,3.3166031799999978
2001,Lower-middle,Western Africa,2.4863112000000003,11.17305183,8.68674063
2001,Upper-middle,Central Africa,2.90732694,4.5377697900000005,1.6304428500000006
2001,Upper-middle,Northern Africa,5.78298664,9.26661205,3.483625410000001
2001,Upper-middle,Southern Africa,7.015892030000001,18.655965809999998,11.640073779999998
2002,High,Eastern Africa,6.45610762,6.45610762,0.0
2002,Low,Eastern Africa,2.49895263,14.0413332,11.54238057
2002,Low,Central Africa,8.60752106,11.72442532,3.11690426
2002,Low,Northern Africa,10.707191470000001,10.707191470000001,0.0
2002,Low,Southern Africa,6.316649439999999,7.042603489999999,0.7259540500000004
2002,Low,Western Africa,2.52350521,8.355998040000001,5.832492830000001
2002,Lower-middle,Eastern Africa,5.495635990000001,9.78842449,4.2927884999999995
2002,Lower-middle,Central Africa,1.3442719000000003,8.540808680000001,7.196536780000001
2002,Lower-middle,Northern Africa,3.5824010399999997,10.98641014,7.404009100000001
2002,Lower-middle,Southern Africa,4.19123077,9.189381599999999,4.998150829999999
2002,Lower-middle,Western Africa,2.74149632,9.504278179999998,6.762781859999999
2002,Upper-middle,Central Africa,3.1987669500000004,4.6636676800000005,1.46490073
2002,Upper-middle,Northern Africa,7.75643206,7.97343826,0.21700620000000015
2002,Upper-middle,Southern Africa,7.245552540000001,19.85424995,12.608697409999998
2003,High,Eastern Africa,9.28865337,9.28865337,0.0
2003,Low,Eastern Africa,2.49895263,13.117821690000003,10.618869060000003
2003,Low,Central Africa,8.981556889999998,12.548629759999999,3.5670728700000005
2003,Low,Northern Africa,10.071520809999999,10.071520809999999,0.0
2003,Low,Southern Africa,6.316649439999999,7.633512499999999,1.3168630600000002
2003,Low,Western Africa,2.52350521,7.629894259999999,5.106389049999999
2003,Lower-middle,Eastern Africa,5.815307139999999,9.708517070000001,3.893209930000002
2003,Lower-middle,Central Africa,1.8552578699999998,11.67833424,9.82307637
2003,Lower-middle,Northern Africa,2.6066830199999997,11.407844540000001,8.80116152
2003,Lower-middle,Southern Africa,4.260468009999999,11.396681789999999,7.136213779999999
2003,Lower-middle,Western Africa,2.8638539300000003,11.36700153,8.503147599999998
2003,Upper-middle,Central Africa,2.8615486600000004,6.7543745,3.8928258399999995
2003,Upper-middle,Northern Africa,6.30859995,9.43778801,3.1291880600000006
2003,Upper-middle,Southern Africa,7.119173529999998,19.498096469999997,12.378922939999999
2004,High,Eastern Africa,9.5548315,9.5548315,0.0
2004,Low,Eastern Africa,2.49895263,10.78895473,8.2900021
2004,Low,Central Africa,11.276063920000002,15.031379699999999,3.7553157799999966
2004,Low,Northern Africa,9.52674675,9.52674675,0.0
2004,Low,Southern Africa,4.99515104,6.316649439999999,1.3214983999999994
2004,Low,Western Africa,2.52350521,8.39099884,5.86749363
2004,Lower-middle,Eastern Africa,5.386150360000001,11.553483009999999,6.167332649999998
2004,Lower-middle,Central Africa,1.78429937,8.563590050000002,6.779290680000002
2004,Lower-middle,Northern Africa,2.96115541,11.54679012,8.58563471
2004,Lower-middle,Southern Africa,5.65226936,9.742611890000001,4.090342530000001
2004,Lower-middle,Western Africa,1.8615269699999994,9.631425859999998,7.769898889999999
2004,Upper-middle,Central Africa,3.2743198899999997,6.5132160200000015,3.238896130000002
2004,Upper-middle,Northern Africa,5.42119884,8.66916943,3.2479705900000004
2004,Upper-middle,Southern Africa,7.994419570000001,20.066646580000004,12.072227010000002
2005,High,Eastern Africa,9.289340020000001,9.289340020000001,0.0
2005,Low,Eastern Africa,1.11400759,10.540405269999999,9.42639768
2005,Low,Central Africa,6.400394919999999,12.423414229999999,6.02301931
2005,Low,Northern Africa,8.099486350000001,8.099486350000001,0.0
2005,Low,Southern Africa,6.037830349999999,8.39700031,2.35916996
2005,Low,Western Africa,2.52350521,12.34742451,9.8239193
2005,Lower-middle,Eastern Africa,5.327818389999999,12.619913100000002,7.292094710000002
2005,Lower-middle,Central Africa,1.95315254,11.518960949999999,9.565808409999999
2005,Lower-middle,Northern Africa,3.8442106199999997,11.35010338,7.50589276
2005,Lower-middle,Southern Africa,4.820637700000001,12.61231613,7.791678429999999
2005,Lower-middle,Western Africa,2.37759972,13.63450813,11.256908410000001
2005,Upper-middle,Central Africa,2.8398647300000004,5.076802729999999,2.2369379999999985
2005,Upper-middle,Northern Africa,5.780624869999999,7.761599059999999,1.9809741900000004
2005,Upper-middle,Southern Africa,7.362707609999999,18.94181824,11.57911063
2006,High,Eastern Africa,7.907297130000001,7.907297130000001,0.0
2006,Low,Eastern Africa,1.6211192599999997,10.247689249999999,8.626569989999998
2006,Low,Central Africa,7.14463902,9.177922249999998,2.0332832299999986
2006,Low,Northern Africa,9.4422226,9.4422226,0.0
2006,Low,Southern Africa,5.29271793,5.6725707100000005,0.3798527800000002
2006,Low,Western Africa,2.52350521,13.54461861,11.0211134
2006,Lower-middle,Eastern Africa,5.181739810000002,13.508828160000002,8.32708835
2006,Lower-middle,Central Africa,1.6916550399999999,5.18314695,3.4914919100000006
2006,Lower-middle,Northern Africa,3.559678079999999,11.73456955,8.17489147
2006,Lower-middle,Southern Africa,4.718737599999999,12.620983120000002,7.902245520000003
2006,Lower-middle,Western Africa,1.8866088400000003,11.497241019999999,9.610632179999998
2006,Upper-middle,Central Africa,2.53066921,5.760071750000001,3.2294025400000006
2006,Upper-middle,Northern Africa,5.27548695,7.84512997,2.56964302
2006,Upper-middle,Southern Africa,7.302484040000001,18.42737389,11.124889849999997
2007,High,Eastern Africa,7.26253414,7.26253414,0.0
2007,Low,Eastern Africa,2.3728718799999995,11.838322640000001,9.465450760000001
2007,Low,Central Africa,5.9949445699999995,9.874658579999998,3.879714009999999
2007,Low,Northern Africa,10.46531487,10.46531487,0.0
2007,Low,Southern Africa,3.54459715,5.602903840000001,2.0583066900000007
2007,Low,Western Africa,2.52350521,8.63178158,6.1082763700000005
2007,Lower-middle,Eastern Africa,4.3323988899999994,10.88657188,6.5541729900000005
2007,Lower-middle,Central Africa,2.0520796800000003,4.276384349999999,2.2243046699999987
2007,Lower-middle,Northern Africa,3.8856704200000003,11.847336769999997,7.961666349999996
2007,Lower-middle,Southern Africa,4.51627111,12.373457910000003,7.857186800000003
2007,Lower-middle,Western Africa,2.78024507,10.09019661,7.30995154
2007,Upper-middle,Central Africa,2.44153905,6.361906529999999,3.920367479999999
2007,Upper-middle,Northern Africa,4.812982079999999,7.630736350000001,2.817754270000002
2007,Upper-middle,Southern Africa,6.8428731,20.652999880000003,13.810126780000003
2008,High,Eastern Africa,8.901844020000002,8.901844020000002,0.0
2008,Low,Eastern Africa,2.3728718799999995,8.97678375,6.603911869999999
2008,Low,Central Africa,4.2314992,5.28349304,1.0519938399999997
2008,Low,Northern Africa,8.78631306,8.78631306,0.0
2008,Low,Southern Africa,5.668106560000001,6.6249685299999985,0.9568619699999976
2008,Low,Western Africa,2.52350521,9.1883316,6.66482639
2008,Lower-middle,Eastern Africa,2.86453962,12.485500340000002,9.620960720000001
2008,Lower-middle,Central Africa,3.46105146,4.548922060000001,1.0878706000000005
2008,Lower-middle,Northern Africa,4.480345250000001,11.841457370000004,7.361112120000003
2008,Lower-middle,Southern Africa,4.0603714,13.342635150000001,9.282263750000002
2008,Lower-middle,Western Africa,2.67598891,9.87775517,7.20176626
2008,Upper-middle,Central Africa,2.4311900100000003,5.612905029999999,3.181715019999999
2008,Upper-middle,Northern Africa,3.700790639999999,7.687209129999999,3.9864184900000006
2008,Upper-middle,Southern Africa,6.12254477,17.223892210000002,11.101347440000001
2009,High,Eastern Africa,7.43247128,7.43247128,0.0
2009,Low,Eastern Africa,2.3728718799999995,10.43949318,8.0666213
2009,Low,Central Africa,3.5498657200000006,4.57543802,1.0255722999999994
2009,Low,Northern Africa,14.019545560000001,14.019545560000001,0.0
2009,Low,Southern Africa,4.965213299999999,5.2324380900000005,0.2672247900000011
2009,Low,Western Africa,2.52350521,8.694140430000001,6.170635220000001
2009,Lower-middle,Eastern Africa,2.7746560600000003,7.583961489999998,4.809305429999998
2009,Lower-middle,Central Africa,2.52816463,3.2723731999999996,0.7442085699999996
2009,Lower-middle,Northern Africa,4.476241589999999,12.0754261,7.599184510000001
2009,Lower-middle,Southern Africa,5.77788925,13.33174038,7.553851129999999
2009,Lower-middle,Western Africa,1.6039820900000001,12.356557849999998,10.752575759999997
2009,Upper-middle,Central Africa,1.9303828500000002,6.817636970000001,4.887254120000001
2009,Upper-middle,Northern Africa,4.089039329999999,8.644684790000001,4.555645460000002
2009,Upper-middle,Southern Africa,6.252062320000001,13.492178919999997,7.240116599999996
2010,High,Eastern Africa,8.983430859999999,8.983430859999999,0.0
2010,Low,Eastern Africa,2.3728718799999995,15.20979691,12.83692503
2010,Low,Central Africa,3.3414733399999994,3.49792719,0.15645385000000056
2010,Low,Northern Africa,9.48801804,9.48801804,0.0
2010,Low,Southern Africa,4.672414779999999,5.77464294,1.102228160000001
2010,Low,Western Africa,2.52350521,9.177886959999999,6.654381749999999
2010,Lower-middle,Eastern Africa,2.8392360200000004,7.32137966,4.482143639999999
2010,Lower-middle,Central Africa,2.67579794,4.100284579999999,1.4244866399999996
2010,Lower-middle,Northern Africa,4.22304821,13.031821249999998,8.808773039999998
2010,Lower-middle,Southern Africa,4.249567990000001,13.76667213,9.517104139999999
2010,Lower-middle,Western Africa,1.76977015,11.91557407,10.14580392
2010,Upper-middle,Central Africa,2.0691845399999997,6.81337643,4.74419189
2010,Upper-middle,Northern Africa,4.33412743,9.18787575,4.85374832
2010,Upper-middle,Southern Africa,8.060935020000002,14.5885601,6.527625079999998
2011,High,Eastern Africa,8.278688429999999,8.278688429999999,0.0
2011,Low,Eastern Africa,2.09114432,13.936785699999998,11.845641379999998
2011,Low,Central Africa,2.93255639,3.6880266700000006,0.7554702800000008
2011,Low,Northern Africa,7.035676959999998,7.035676959999998,0.0
2011,Low,Southern Africa,4.34422016,6.77999687,2.43577671
2011,Low,Western Africa,2.52350521,8.299738880000001,5.776233670000002
2011,Lower-middle,Eastern Africa,6.762119290000001,8.47449207,1.712372779999999
2011,Lower-middle,Central Africa,2.33683133,4.30936193,1.9725305999999998
2011,Lower-middle,Northern Africa,4.400928970000001,12.386133190000002,7.985204220000002
2011,Lower-middle,Southern Africa,4.58056879,14.277363780000002,9.69679499
2011,Lower-middle,Western Africa,2.7714133299999997,12.074167250000002,9.302753920000002
2011,Upper-middle,Central Africa,2.15473962,7.183163640000001,5.028424020000001
2011,Upper-middle,Northern Africa,6.419583800000001,9.034251209999999,2.6146674099999982
2011,Upper-middle,Southern Africa,7.36220407,14.67442226,7.31221819
2012,High,Eastern Africa,10.426761629999998,10.426761629999998,0.0
2012,Low,Eastern Africa,2.3728718799999995,12.93699551,10.56412363
2012,Low,Central Africa,3.9646971199999994,4.2233171500000015,0.2586200300000021
2012,Low,Northern Africa,9.06086254,9.06086254,0.0
2012,Low,Southern Africa,4.394596099999999,5.09623861,0.701642510000001
2012,Low,Western Africa,2.66254306,6.308975220000001,3.6464321600000007
2012,Lower-middle,Eastern Africa,5.352248189999999,7.35927916,2.0070309700000006
2012,Lower-middle,Central Africa,2.67131019,4.56686974,1.8955595499999998
2012,Lower-middle,Northern Africa,4.166985510000001,12.638530730000003,8.471545220000003
2012,Lower-middle,Southern Africa,4.201513290000001,13.99154949,9.7900362
2012,Lower-middle,Western Africa,2.6300339700000004,8.9727478,6.34271383
2012,Upper-middle,Central Africa,1.9963014100000003,6.1915850599999995,4.1952836499999995
2012,Upper-middle,Northern Africa,7.412574770000001,10.06144714,2.6488723699999994
2012,Upper-middle,Southern Africa,8.319043159999998,14.467313769999999,6.148270610000001
2013,High,Eastern Africa,8.472024919999999,8.472024919999999,0.0
2013,Low,Eastern Africa,2.3728718799999995,10.268065449999998,7.895193569999998
2013,Low,Central Africa,5.036792759999999,7.345152849999998,2.308360089999999
2013,Low,Northern Africa,7.517609599999998,7.517609599999998,0.0
2013,Low,Southern Africa,4.72615862,7.15567255,2.4295139300000006
2013,Low,Western Africa,1.15725291,6.555336479999999,5.398083569999999
2013,Lower-middle,Eastern Africa,4.449965000000001,7.149720670000001,2.69975567
2013,Lower-middle,Central Africa,2.2095162900000007,8.440089230000002,6.230572940000001
2013,Lower-middle,Northern Africa,4.1566329,12.498271940000002,8.341639040000002
2013,Lower-middle,Southern Africa,4.57540083,11.66008472,7.08468389
2013,Lower-middle,Western Africa,2.6236228899999996,9.029556269999999,6.405933379999999
2013,Upper-middle,Central Africa,2.1107134800000003,5.257540229999999,3.146826749999999
2013,Upper-middle,Northern Africa,4.9712419500000005,11.70106602,6.72982407
2013,Upper-middle,Southern Africa,8.00718403,14.337916369999999,6.330732339999999
2014,High,Eastern Africa,9.53861809,9.53861809,0.0
2014,Low,Eastern Africa,2.3728718799999995,13.924149510000001,11.551277630000001
2014,Low,Central Africa,3.94678593,5.548615459999999,1.601829529999999
2014,Low,Northern Africa,10.61807156,10.61807156,0.0
2014,Low,Southern Africa,4.317281720000001,8.580904960000002,4.26362324
2014,Low,Western Africa,2.4611892699999998,7.77367115,5.31248188
2014,Lower-middle,Eastern Africa,3.8196549400000004,7.845007899999999,4.025352959999998
2014,Lower-middle,Central Africa,1.9499675,7.77581406,5.8258465600000005
2014,Lower-middle,Northern Africa,4.16148472,13.54343796,9.381953240000001
2014,Lower-middle,Southern Africa,3.6156802200000002,11.592402459999999,7.976722239999999
2014,Lower-middle,Western Africa,3.04792023,9.98307133,6.9351511
2014,Upper-middle,Central Africa,2.06072378,6.384582520000001,4.323858740000001
2014,Upper-middle,Northern Africa,5.71347761,11.41803837,5.70456076
2014,Upper-middle,Southern Africa,10.52838707,14.9161272,4.387740129999999
2015,High,Eastern Africa,9.90167999,9.90167999,0.0
2015,Low,Eastern Africa,2.3728718799999995,15.27427959,12.90140771
2015,Low,Central Africa,3.2645256500000004,5.24520254,1.9806768899999998
2015,Low,Northern Africa,6.66369581,6.66369581,0.0
2015,Low,Southern Africa,5.554437639999999,9.72891998,4.174482340000002
2015,Low,Western Africa,2.5010154199999994,7.15264177,4.651626350000001
2015,Lower-middle,Eastern Africa,2.44571519,8.074480059999999,5.6287648699999995
2015,Lower-middle,Central Africa,1.8129396399999997,4.936841009999999,3.1239013699999996
2015,Lower-middle,Northern Africa,5.057976720000001,12.179168699999998,7.121191979999997
2015,Lower-middle,Southern Africa,4.562625410000001,10.86027813,6.2976527199999985
2015,Lower-middle,Western Africa,1.98006856,10.09395409,8.113885530000001
2015,Upper-middle,Central Africa,1.7879911700000002,7.0348739600000005,5.246882790000001
2015,Upper-middle,Northern Africa,7.51431656,10.604810709999999,3.0904941499999987
2015,Upper-middle,Southern Africa,9.458418850000001,15.237735749999995,5.779316899999994
2016,High,Eastern Africa,9.454355240000002,9.454355240000002,0.0
2016,Low,Eastern Africa,2.3728718799999995,17.51086807,15.13799619
2016,Low,Central Africa,4.9471330600000005,5.725020889999998,0.7778878299999974
2016,Low,Northern Africa,12.92873669,12.92873669,0.0
2016,Low,Southern Africa,5.995962139999999,9.677967070000001,3.6820049300000024
2016,Low,Western Africa,2.36231256,11.033993720000002,8.671681160000002
2016,Lower-middle,Eastern Africa,3.03607512,9.52143383,6.48535871
2016,Lower-middle,Central Africa,1.8129396399999997,8.002157209999998,6.1892175699999985
2016,Lower-middle,Northern Africa,5.057976720000001,12.515083309999998,7.457106589999997
2016,Lower-middle,Southern Africa,5.432696819999999,10.336076740000001,4.903379920000002
2016,Lower-middle,Western Africa,4.12965584,10.392424580000002,6.262768740000002
2016,Upper-middle,Central Africa,3.11053944,9.202557559999999,6.092018119999999
2016,Upper-middle,Northern Africa,9.908102040000001,10.60594082,0.6978387799999997
2016,Upper-middle,Southern Africa,10.2022686,15.28983974,5.08757114
2017,High,Eastern Africa,9.546298029999999,9.546298029999999,0.0
2017,Low,Eastern Africa,2.10620522,15.032087330000005,12.925882110000005
2017,Low,Central Africa,4.678395750000001,5.259977339999999,0.5815815899999981
2017,Low,Northern Africa,8.324994090000002,8.324994090000002,0.0
2017,Low,Southern Africa,6.07456493,8.189613340000001,2.115048410000001
2017,Low,Western Africa,2.75228286,10.235204699999999,7.482921839999999
2017,Lower-middle,Eastern Africa,3.5854959500000008,9.52143383,5.935937879999999
2017,Lower-middle,Central Africa,0.73440903,10.76263332,10.02822429
2017,Lower-middle,Northern Africa,5.41994762,11.561422349999997,6.141474729999997
2017,Lower-middle,Southern Africa,5.364319320000001,11.97283363,6.6085143099999994
2017,Lower-middle,Western Africa,3.47824264,9.27400303,5.79576039
2017,Upper-middle,Central Africa,3.9362916899999996,9.7150774,5.778785710000001
2017,Upper-middle,Northern Africa,8.862674709999999,10.606039999999998,1.7433652899999998
2017,Upper-middle,Southern Africa,10.204333309999999,15.28983974,5.085506430000001
