year,income,Subregion,countries_below_abuja
2013,Low,Eastern Africa,8
2013,Low,Central Africa,2
2013,Low,Northern Africa,1
2013,Low,Southern Africa,2
2013,Low,Western Africa,8
2013,Lower-middle,Eastern Africa,4
2013,Lower-middle,Central Africa,3
2013,Lower-middle,Northern Africa,4
2013,Lower-middle,Southern Africa,5
2013,Lower-middle,Western Africa,7
2013,Upper-middle,Eastern Africa,1
2013,Upper-middle,Central Africa,2
2013,Upper-middle,Northern Africa,2
2013,Upper-middle,Southern Africa,4
2014,Low,Eastern Africa,8
2014,Low,Central Africa,2
2014,Low,Northern Africa,1
2014,Low,Southern Africa,2
2014,Low,Western Africa,8
2014,Lower-middle,Eastern Africa,4
2014,Lower-middle,Central Africa,3
2014,Lower-middle,Northern Africa,4
2014,Lower-middle,Southern Africa,5
2014,Lower-middle,Western Africa,7
2014,Upper-middle,Eastern Africa,1
2014,Upper-middle,Central Africa,2
2014,Upper-middle,Northern Africa,2
2014,Upper-middle,Southern Africa,4
2015,Low,Eastern Africa,7
2015,Low,Central Africa,2
2015,Low,Northern Africa,1
2015,Low,Southern Africa,2
2015,Low,Western Africa,8
2015,Lower-middle,Eastern Africa,4
2015,Lower-middle,Central Africa,3
2015,Lower-middle,Northern Africa,4
2015,Lower-middle,Southern Africa,5
2015,Lower-middle,Western Africa,7
2015,Upper-middle,Eastern Africa,1
2015,Upper-middle,Central Africa,2
2015,Upper-middle,Northern Africa,2
2015,Upper-middle,Southern Africa,3
2016,Low,Eastern Africa,7
2016,Low,Central Africa,2
2016,Low,Northern Africa,1
2016,Low,Southern Africa,2
2016,Low,Western Africa,8
2016,Lower-middle,Eastern Africa,4
2016,Lower-middle,Central Africa,3
2016,Lower-middle,Northern Africa,4
2016,Lower-middle,Southern Africa,5
2016,Lower-middle,Western Africa,7
2016,Upper-middle,Eastern Africa,1
2016,Upper-middle,Central Africa,2
2016,Upper-middle,Northern Africa,2
2016,Upper-middle,Southern Africa,3
2017,Low,Eastern Africa,8
2017,Low,Central Africa,2
2017,Low,Northern Africa,1
2017,Low,Southern Africa,2
2017,Low,Western Africa,8
2017,Lower-middle,Eastern Africa,4
2017,Lower-middle,Central Africa,3
2017,Lower-middle,Northern Africa,4
2017,Lower-middle,Southern Africa,5
