year,income,Subregion,avg_budget_priority_gap
2010,Low,Eastern Africa,9.91503767
2010,Low,Central Africa,11.580299735
2010,Low,Northern Africa,5.51198196
2010,Low,Southern Africa,9.776471140000002
2010,Low,Western Africa,9.20612943125
2010,Lower-middle,Eastern Africa,8.90619272
2010,Lower-middle,Central Africa,11.540605146666666
2010,Lower-middle,Northern Africa,8.079819202500001
2010,Lower-middle,Southern Africa,5.47906313
2010,Lower-middle,Western Africa,9.26860782
2010,Upper-middle,Central Africa,10.558719515
2010,Upper-middle,Northern Africa,8.23899841
2010,Upper-middle,Southern Africa,3.7348413474999997
2011,High,Eastern Africa,6.721311570000001
2011,Low,Eastern Africa,8.577368632857144
2011,Low,Central Africa,11.68970847
2011,Low,Northern Africa,7.964323040000002
2011,Low,Southern Africa,9.437891485000002
2011,Low,Western Africa,9.65862307125
2011,Lower-middle,Eastern Africa,7.385963562499999
2011,Lower-middle,Central Africa,11.714441856666667
2011,Lower-middle,Northern Africa,8.1482683425
2011,Lower-middle,Southern Africa,5.433440876
2011,Lower-middle,Western Africa,9.130963495714285
2011,Upper-middle,Central Africa,10.33104837
2011,Upper-middle,Northern Africa,7.273082495
2011,Upper-middle,Southern Africa,3.755099895
2012,High,Eastern Africa,4.573238370000002
2012,Low,Eastern Africa,8.12599182
2012,Low,Central Africa,10.905992864999998
2012,Low,Northern Africa,5.9391374599999995
2012,Low,Southern Africa,10.254582645
2012,Low,Western Africa,10.035781205
2012,Lower-middle,Eastern Africa,8.53736627
2012,Lower-middle,Central Africa,11.343338883333333
2012,Lower-middle,Northern Africa,8.278405069999998
2012,Lower-middle,Southern Africa,5.4840311999999996
2012,Lower-middle,Western Africa,9.384052515714286
2012,Upper-middle,Central Africa,10.906056764999999
2012,Upper-middle,Northern Africa,6.262989044999999
2012,Upper-middle,Southern Africa,3.202335117500001
2013,High,Eastern Africa,6.527975080000001
2013,Low,Eastern Africa,8.929174422500001
2013,Low,Central Africa,8.809027195000002
2013,Low,Northern Africa,7.482390400000002
2013,Low,Southern Africa,9.059084415000001
2013,Low,Western Africa,10.1480038
2013,Lower-middle,Eastern Africa,8.83960104
2013,Lower-middle,Central Africa,10.616479473333333
2013,Lower-middle,Northern Africa,7.9886585475
2013,Lower-middle,Southern Africa,6.950417138000001
2013,Lower-middle,Western Africa,9.46392366
2013,Upper-middle,Central Africa,11.315873145
2013,Upper-middle,Northern Africa,6.663846015
2013,Upper-middle,Southern Africa,3.032940627500001
2014,High,Eastern Africa,5.46138191
2014,Low,Eastern Africa,8.3416134425
2014,Low,Central Africa,10.252299305000001
2014,Low,Northern Africa,4.381928439999999
2014,Low,Southern Africa,8.550906659999999
2014,Low,Western Africa,9.92719996
2014,Lower-middle,Eastern Africa,8.831124902500001
2014,Lower-middle,Central Africa,10.778162279999998
2014,Lower-middle,Northern Africa,7.553948162499999
2014,Lower-middle,Southern Africa,6.516014384
2014,Lower-middle,Western Africa,9.72596188857143
2014,Upper-middle,Central Africa,10.777346849999999
2014,Upper-middle,Northern Africa,6.43424201
2014,Upper-middle,Southern Africa,2.9075524825
2015,High,Eastern Africa,5.09832001
2015,Low,Eastern Africa,9.179446902857142
2015,Low,Central Africa,10.745135905
2015,Low,Northern Africa,8.33630419
2015,Low,Southern Africa,7.35832119
2015,Low,Western Africa,10.34796971125
2015,Lower-middle,Eastern Africa,9.5199164725
2015,Lower-middle,Central Africa,11.846803029999998
2015,Lower-middle,Northern Africa,7.568940402500001
2015,Lower-middle,Southern Africa,7.44463539
2015,Lower-middle,Western Africa,9.458383202857144
2015,Upper-middle,Central Africa,10.588567435
2015,Upper-middle,Northern Africa,5.940436365
2015,Upper-middle,Southern Africa,4.2583525966666675
2016,High,Eastern Africa,5.545644759999998
2016,Low,Eastern Africa,9.52941294857143
2016,Low,Central Africa,9.663923025
2016,Low,Northern Africa,2.071263310000001
2016,Low,Southern Africa,7.163035395
2016,Low,Western Africa,9.52859792
2016,Lower-middle,Eastern Africa,8.569922925
2016,Lower-middle,Central Africa,10.766626676666668
2016,Lower-middle,Northern Africa,7.415519237500001
2016,Lower-middle,Southern Africa,7.671917723999999
2016,Lower-middle,Western Africa,9.305409022857143
2016,Upper-middle,Central Africa,8.8434515
2016,Upper-middle,Northern Africa,4.742978569999999
2016,Upper-middle,Southern Africa,3.261243183333334
