year,income,Subregion,gini_budget_priority
2009,Lower-middle,Northern Africa,0.22088391975073884
2009,Lower-middle,Southern Africa,0.1725269844818058
2009,Lower-middle,Western Africa,0.2823933451590426
2009,Upper-middle,Eastern Africa,0.0
2009,Upper-middle,Middle Africa,0.2793348792389909
2009,Upper-middle,Northern Africa,0.1788811119617697
2009,Upper-middle,Southern Africa,0.18281438321263166
2010,Low,Eastern Africa,0.33045430648897733
2010,Low,Middle Africa,0.011437687361176563
2010,Low,Northern Africa,0.0
2010,Low,Southern Africa,0.052753042509274595
2010,Low,Western Africa,0.19412165790086
2010,Lower-middle,Eastern Africa,0.1407173451832564
2010,Lower-middle,Middle Africa,0.0915051909618374
2010,Lower-middle,Northern Africa,0.25404905642206765
2010,Lower-middle,Southern Africa,0.21504395585809588
2010,Lower-middle,Western Africa,0.2844857749941043
2010,Upper-middle,Eastern Africa,0.0
2010,Upper-middle,Middle Africa,0.2670509049148704
2010,Upper-middle,Northern Africa,0.1794759347187198
2010,Upper-middle,Southern Africa,0.1409337346769335
2011,Low,Eastern Africa,0.3450072919392495
2011,Low,Middle Africa,0.05705466370208212
2011,Low,Northern Africa,0.0
2011,Low,Southern Africa,0.10948081574780266
2011,Low,Western Africa,0.18360949207028954
2011,Lower-middle,Eastern Africa,0.04826419959918904
2011,Lower-middle,Middle Africa,0.1334142067224593
2011,Lower-middle,Northern Africa,0.2273267735055049
2011,Lower-middle,Southern Africa,0.20114527740413068
2011,Lower-middle,Western Africa,0.278106279721249
2011,Upper-middle,Eastern Africa,0.0
2011,Upper-middle,Middle Africa,0.2692480249575855
2011,Upper-middle,Northern Africa,0.08459606978811629
2011,Upper-middle,Southern Africa,0.14237079109650308
2012,Low,Eastern Africa,0.24562593668010235
2012,Low,Middle Africa,0.015792597659945784
2012,Low,Northern Africa,0.0
2012,Low,Southern Africa,0.036964215026352054
2012,Low,Western Africa,0.13176227012220165
2012,Lower-middle,Eastern Africa,0.06913466802643664
2012,Lower-middle,Middle Africa,0.11519674427460891
2012,Lower-middle,Northern Africa,0.24849645711244883
2012,Lower-middle,Southern Africa,0.2116623185229436
2012,Lower-middle,Western Africa,0.21882049771869783
2012,Upper-middle,Eastern Africa,0.0
2012,Upper-middle,Middle Africa,0.2561884355243138
2012,Upper-middle,Northern Africa,0.07579458191259625
2012,Upper-middle,Southern Africa,0.11379453648207893
2013,Low,Eastern Africa,0.22224103155762154
2013,Low,Middle Africa,0.09321475649738398
2013,Low,Northern Africa,0.0
2013,Low,Southern Africa,0.10223651115891097
2013,Low,Western Africa,0.17749060376428138
2013,Lower-middle,Eastern Africa,0.08651481559239804
2013,Lower-middle,Middle Africa,0.3158583964695856
2013,Lower-middle,Northern Africa,0.2286061455191979
2013,Lower-middle,Southern Africa,0.1908650183667122
2013,Lower-middle,Western Africa,0.2229765125511629
2013,Upper-middle,Eastern Africa,0.0
2013,Upper-middle,Middle Africa,0.21353952197175308
2013,Upper-middle,Northern Africa,0.2018264082606196
2013,Upper-middle,Southern Africa,0.10782917834771366
2014,Low,Eastern Africa,0.29207877793748893
2014,Low,Middle Africa,0.0843476470455975
2014,Low,Northern Africa,0.0
2014,Low,Southern Africa,0.16527994770812238
2014,Low,Western Africa,0.20587346988153743
2014,Lower-middle,Eastern Africa,0.1311109647774802
2014,Lower-middle,Middle Africa,0.30665142877374496
2014,Lower-middle,Northern Africa,0.24966037756583126
2014,Lower-middle,Southern Africa,0.18005718155852013
2014,Lower-middle,Western Africa,0.22163576971382737
2014,Upper-middle,Eastern Africa,0.0
2014,Upper-middle,Middle Africa,0.25599182471333215
2014,Upper-middle,Northern Africa,0.16649316869154274
2014,Upper-middle,Southern Africa,0.07324474806222736
2015,Low,Eastern Africa,0.29191050249827377
