year,income,Subregion,avg_uhc_index
2011,Lower-middle,Eastern Africa,45.0
2011,Lower-middle,Central Africa,45.666666666666664
2011,Lower-middle,Northern Africa,59.5
2011,Lower-middle,Southern Africa,48.6
2011,Lower-middle,Western Africa,39.42857142857143
2011,Upper-middle,Eastern Africa,72.0
2011,Upper-middle,Central Africa,43.5
2011,Upper-middle,Northern Africa,65.5
2011,Upper-middle,Southern Africa,62.25
2012,Low,Eastern Africa,37.285714285714285
2012,Low,Central Africa,26.5
2012,Low,Northern Africa,41.0
2012,Low,Southern Africa,41.0
2012,Low,Western Africa,38.625
2012,Lower-middle,Eastern Africa,45.5
2012,Lower-middle,Central Africa,48.0
2012,Lower-middle,Northern Africa,59.0
2012,Lower-middle,Southern Africa,48.6
2012,Lower-middle,Western Africa,41.0
2012,Upper-middle,Eastern Africa,73.0
2012,Upper-middle,Central Africa,47.5
2012,Upper-middle,Northern Africa,66.5
2012,Upper-middle,Southern Africa,62.5
2013,Low,Eastern Africa,37.375
2013,Low,Central Africa,26.0
2013,Low,Northern Africa,45.0
2013,Low,Southern Africa,42.0
2013,Low,Western Africa,39.0
2013,Lower-middle,Eastern Africa,46.0
2013,Lower-middle,Central Africa,46.666666666666664
2013,Lower-middle,Northern Africa,59.5
2013,Lower-middle,Southern Africa,50.4
2013,Lower-middle,Western Africa,41.57142857142857
2013,Upper-middle,Eastern Africa,76.0
2013,Upper-middle,Central Africa,48.0
2013,Upper-middle,Northern Africa,69.5
2013,Upper-middle,Southern Africa,62.75
2014,Low,Eastern Africa,38.5
2014,Low,Central Africa,29.5
2014,Low,Northern Africa,46.0
2014,Low,Southern Africa,43.0
2014,Low,Western Africa,39.875
2014,Lower-middle,Eastern Africa,45.5
2014,Lower-middle,Central Africa,46.666666666666664
2014,Lower-middle,Northern Africa,60.25
2014,Lower-middle,Southern Africa,52.4
2014,Lower-middle,Western Africa,43.0
2014,Upper-middle,Eastern Africa,79.0
2014,Upper-middle,Central Africa,47.5
2014,Upper-middle,Northern Africa,71.0
