year,income,pct_public_threshold_uhc50,pct_public_threshold_uhc75,pct_abuja_uhc50,pct_abuja_uhc75,pct_oop_benchmark_uhc50,pct_oop_benchmark_uhc75
2000,Low,0.0,0.0,0.0,0.0,5.0,0.0
2000,Lower-middle,0.0,0.0,4.545454545454546,4.545454545454546,4.545454545454546,4.545454545454546
2000,Upper-middle,0.0,0.0,11.11111111111111,11.11111111111111,44.44444444444444,44.44444444444444
2001,Low,0.0,0.0,0.0,0.0,5.0,0.0
2001,Lower-middle,0.0,0.0,0.0,0.0,4.545454545454546,4.545454545454546
2001,Upper-middle,0.0,0.0,11.11111111111111,11.11111111111111,44.44444444444444,44.44444444444444
2002,Low,0.0,0.0,0.0,0.0,5.0,0.0
2002,Lower-middle,0.0,0.0,0.0,0.0,4.545454545454546,4.545454545454546
2002,Upper-middle,0.0,0.0,11.11111111111111,11.11111111111111,44.44444444444444,44.44444444444444
2003,Low,0.0,0.0,0.0,0.0,5.0,0.0
2003,Lower-middle,0.0,0.0,0.0,0.0,4.545454545454546,4.545454545454546
2003,Upper-middle,0.0,0.0,11.11111111111111,11.11111111111111,44.44444444444444,44.44444444444444
2004,Low,0.0,0.0,0.0,0.0,5.0,0.0
2004,Lower-middle,0.0,0.0,0.0,0.0,4.545454545454546,4.545454545454546
2004,Upper-middle,0.0,0.0,11.11111111111111,11.11111111111111,44.44444444444444,44.44444444444444
2005,Low,0.0,0.0,0.0,0.0,5.0,0.0
2005,Lower-middle,0.0,0.0,0.0,0.0,4.545454545454546,4.545454545454546
2005,Upper-middle,0.0,0.0,11.11111111111111,11.11111111111111,44.44444444444444,44.44444444444444
2006,Low,0.0,0.0,0.0,0.0,15.0,0.0
2006,Lower-middle,0.0,0.0,0.0,0.0,4.545454545454546,4.545454545454546
2006,Upper-middle,0.0,0.0,11.11111111111111,11.11111111111111,44.44444444444444,44.44444444444444
2007,Low,0.0,0.0,0.0,0.0,15.0,0.0
2007,Lower-middle,0.0,0.0,0.0,0.0,4.545454545454546,4.545454545454546
2007,Upper-middle,0.0,0.0,11.11111111111111,11.11111111111111,44.44444444444444,44.44444444444444
2008,Low,0.0,0.0,0.0,0.0,15.0,0.0
2008,Lower-middle,0.0,0.0,0.0,0.0,4.545454545454546,4.545454545454546
2008,Upper-middle,0.0,0.0,11.11111111111111,11.11111111111111,33.33333333333333,33.33333333333333
2009,Low,0.0,0.0,0.0,0.0,15.0,0.0
2009,Lower-middle,0.0,0.0,0.0,0.0,18.181818181818183,4.545454545454546
2009,Upper-middle,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333
2010,Low,0.0,0.0,0.0,0.0,15.0,0.0
2010,Lower-middle,4.3478260869565215,4.3478260869565215,0.0,0.0,8.695652173913043,4.3478260869565215
2010,Upper-middle,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333
2011,Low,0.0,0.0,0.0,0.0,10.0,0.0
2011,Lower-middle,8.695652173913043,8.695652173913043,0.0,0.0,13.043478260869565,4.3478260869565215
2011,Upper-middle,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333
2012,Low,0.0,0.0,0.0,0.0,15.0,5.0
2012,Lower-middle,8.695652173913043,8.695652173913043,0.0,0.0,17.391304347826086,4.3478260869565215
2012,Upper-middle,0.0,0.0,0.0,0.0,44.44444444444444,44.44444444444444
2013,Low,0.0,0.0,0.0,0.0,9.523809523809524,0.0
2013,Lower-middle,4.3478260869565215,4.3478260869565215,0.0,0.0,17.391304347826086,4.3478260869565215
2013,Upper-middle,0.0,0.0,0.0,0.0,44.44444444444444,44.44444444444444
2014,Low,0.0,0.0,0.0,0.0,9.523809523809524,0.0
2014,Lower-middle,4.3478260869565215,4.3478260869565215,0.0,0.0,17.391304347826086,13.043478260869565
2014,Upper-middle,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333
2015,Low,0.0,0.0,0.0,0.0,14.285714285714285,0.0
2015,Lower-middle,0.0,0.0,0.0,0.0,17.391304347826086,13.043478260869565
2015,Upper-middle,0.0,0.0,11.11111111111111,11.11111111111111,33.33333333333333,33.33333333333333
2016,Low,0.0,0.0,0.0,0.0,9.523809523809524,0.0
2016,Lower-middle,0.0,0.0,0.0,0.0,17.391304347826086,8.695652173913043
2016,Upper-middle,0.0,0.0,11.11111111111111,11.11111111111111,33.33333333333333,33.33333333333333
2017,Low,0.0,0.0,0.0,0.0,9.090909090909092,0.0
2017,Lower-middle,0.0,0.0,0.0,0.0,21.73913043478261,13.043478260869565
2017,Upper-middle,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,33.33333333333333,33.33333333333333
2018,Low,0.0,0.0,0.0,0.0,9.090909090909092,4.545454545454546
2018,Lower-middle,0.0,0.0,0.0,0.0,21.73913043478261,8.695652173913043
2018,Upper-middle,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,33.33333333333333,33.33333333333333
2019,Low,0.0,0.0,0.0,0.0,9.090909090909092,9.090909090909092
2019,Lower-middle,4.3478260869565215,4.3478260869565215,0.0,0.0,21.73913043478261,17.391304347826086
2019,Upper-middle,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,33.33333333333333,33.33333333333333
2020,Low,0.0,0.0,0.0,0.0,13.636363636363635,4.545454545454546
2020,Lower-middle,8.695652173913043,8.695652173913043,0.0,0.0,21.73913043478261,17.391304347826086
2020,Upper-middle,11.11111111111111,11.11111111111111,22.22222222222222,22.22222222222222,33.33333333333333,33.33333333333333
2021,Low,0.0,0.0,0.0,0.0,9.090909090909092,0.0
2021,Lower-middle,13.043478260869565,13.043478260869565,0.0,0.0,21.73913043478261,13.043478260869565
2021,Upper-middle,0.0,0.0,22.22222222222222,22.22222222222222,33.33333333333333,33.33333333333333
2022,Low,0.0,0.0,0.0,0.0,13.636363636363635,0.0
2022,Lower-middle,4.3478260869565215,4.3478260869565215,4.3478260869565215,4.3478260869565215,21.73913043478261,13.043478260869565
2022,Upper-middle,11.11111111111111,11.11111111111111,22.22222222222222,22.22222222222222,33.33333333333333,33.33333333333333
2023,Low,0.0,0.0,0.0,0.0,13.636363636363635,0.0
2023,Lower-middle,8.695652173913043,8.695652173913043,0.0,0.0,21.73913043478261,13.043478260869565
2023,Upper-middle,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,44.44444444444444,44.44444444444444
