year,income,Subregion,avg_gov_share,avg_voluntary_prepaid_share,avg_oop_share,avg_other_private_share,avg_external_share
2000,Low,Eastern Africa,29.291256972857145,1.8364103733333315,46.83197157571427,5.879012058178571,17.263552402857112
2000,Low,Middle Africa,38.6475200649999,0.40842683999999996,52.247198104999995,1.218639642000197,7.478215334999995
2000,Low,Northern Africa,33.8259429899999,1.55993438,61.82265854,,
2000,Low,Southern Africa,46.926942825,2.0685270999999994,27.82207869999995,0.0,23.182453629999994
2000,Low,Western Africa,16.85803377749996,1.52443925,62.25555181374996,2.2625288359597215,16.680253476249987
2000,Lower-middle,Eastern Africa,25.694934607499924,1.8436819,52.47625350999995,2.3504890054464314,17.634641527499976
2000,Lower-middle,Middle Africa,28.969787916666665,0.4657681933333333,58.3382568333333,2.0796584685643467,10.1465285633333
2000,Lower-middle,Northern Africa,31.77937436,6.083051939999998,58.2015113825,2.9399388631184866,1.6169742899999966
2000,Lower-middle,Southern Africa,50.67246150999993,3.472986359999993,32.76739930999997,13.670254389444935,3.702708689999995
2000,Lower-middle,Western Africa,32.822583061428546,2.2094282279999957,53.526035309999976,1.2567071318626375,8.362443549999997
2000,Upper-middle,Eastern Africa,82.11167908,,17.88831902,,0.0
2000,Upper-middle,Middle Africa,39.70202255499996,3.84647834,52.66390037499995,0.789782643318176,2.9978160899999953
2000,Upper-middle,Northern Africa,60.336160660000004,0.818098129999999,38.54281234499995,1.37176883220672,0.0260935
2000,Upper-middle,Southern Africa,49.83342266249997,24.577506407499975,18.916859744999996,1.1934073418378797,5.478803855000001
2001,Low,Eastern Africa,28.44332538285713,1.3705665533333296,45.44824927285715,4.903942108154292,20.73027488285714
2001,Low,Middle Africa,36.34404945499995,0.9636738,56.18190574999995,1.2771047055721239,5.23326623
2001,Low,Northern Africa,33.33333206,1.60818708,62.2807006799999,,
2001,Low,Southern Africa,43.71904563999995,2.1257245499999993,22.617375375,0.0,31.5378561
2001,Low,Western Africa,17.219035802499963,1.522379501428571,59.84011495124996,2.529737338423725,18.462220429999984
2001,Lower-middle,Eastern Africa,25.298451664999945,1.7811385824999997,54.152873039999946,2.375634178519247,16.391902804999972
2001,Lower-middle,Middle Africa,33.78178659999997,0.4780564266666667,54.836864469999966,2.0138116081555655,8.889480906666668
2001,Lower-middle,Northern Africa,31.9859075525,5.931342464999997,58.41340446499995,2.8382089138030966,1.4765473433333334
2001,Lower-middle,Southern Africa,46.76003074499995,4.41477818333333,32.538317202499975,9.968740781148247,7.3855324674999725
2001,Lower-middle,Western Africa,34.50165591999998,2.4734543759999976,51.44446808999995,1.24283233359456,8.950566394285698
2001,Upper-middle,Eastern Africa,82.6480941799999,,17.09648132,,0.25542524
2001,Upper-middle,Middle Africa,34.81350612499995,3.6932208249999996,52.574245454999996,0.765510648488998,8.15351695
2001,Upper-middle,Northern Africa,65.34953879999995,0.84755743,33.598233225,1.21061778068542,0.023140345
2001,Upper-middle,Southern Africa,49.33690261999995,25.44907859,18.5190351025,1.5690169930458047,5.1259667
2002,Low,Eastern Africa,28.431653569999984,1.5497795833333317,44.95277867999995,4.987249801556255,21.01244245571427
2002,Low,Middle Africa,31.348939895,1.076735915,57.16660880999994,1.3736815452575635,9.03403389499995
2002,Low,Northern Africa,34.20050812,1.58629440999999,61.421318049999996,,
2002,Low,Southern Africa,36.52444076499995,1.743868859999995,21.48617172,1.429999997526465e-06,40.245517735
2002,Low,Western Africa,17.33632922124996,1.4894084942857138,56.769635914999974,2.5321477729071327,21.531398716249974
2002,Lower-middle,Eastern Africa,26.502837657499924,1.6814057799999975,51.059918402499974,2.2796686616694615,18.476169464999973
2002,Lower-middle,Middle Africa,29.096073149999967,0.50771396,57.838361103333334,2.17310551802317,10.384746313333267
