year,income,Subregion,avg_mmr
2010,Low,Southern Africa,394.03252445
2010,Low,Western Africa,642.4966919125
2010,Lower-middle,Eastern Africa,383.11646155
2010,Lower-middle,Central Africa,371.31646456666664
2010,Lower-middle,Northern Africa,178.899235555
2010,Lower-middle,Southern Africa,656.56742508
2010,Lower-middle,Western Africa,557.2759603000001
2010,Upper-middle,Eastern Africa,50.21290806
2010,Upper-middle,Central Africa,201.8048032
2010,Upper-middle,Northern Africa,76.228974945
2010,Upper-middle,Southern Africa,259.54743049
2011,Low,Eastern Africa,485.1550878857143
2011,Low,Central Africa,1197.8376254999998
2011,Low,Northern Africa,356.6349726
2011,Low,Southern Africa,361.3152896
2011,Low,Western Africa,629.10479555
2011,Lower-middle,Eastern Africa,372.40717347500004
2011,Lower-middle,Central Africa,361.0161973
2011,Lower-middle,Northern Africa,174.552863915
2011,Lower-middle,Southern Africa,626.07089472
2011,Lower-middle,Western Africa,549.1302909642857
2011,Upper-middle,Eastern Africa,49.71878863
2011,Upper-middle,Central Africa,201.1738884
2011,Upper-middle,Northern Africa,80.668208575
2011,Upper-middle,Southern Africa,255.9256706125
2012,Low,Eastern Africa,465.58506692857145
2012,Low,Central Africa,1168.6906079999999
2012,Low,Northern Africa,340.4804145
2012,Low,Southern Africa,318.92187809999996
2012,Low,Western Africa,620.025353325
2012,Lower-middle,Eastern Africa,360.109958075
2012,Lower-middle,Central Africa,344.1763198666667
2012,Lower-middle,Northern Africa,172.39373323750002
2012,Lower-middle,Southern Africa,540.8563606800001
2012,Lower-middle,Western Africa,545.3977953114286
2012,Upper-middle,Eastern Africa,48.79719109
2012,Upper-middle,Central Africa,208.64821905
2012,Upper-middle,Northern Africa,77.55766934
2012,Upper-middle,Southern Africa,243.96257926500002
2013,Low,Eastern Africa,502.4495361375
2013,Low,Central Africa,1153.8965705
2013,Low,Northern Africa,326.8861908
2013,Low,Southern Africa,290.02013705
2013,Low,Western Africa,599.1125058875
2013,Lower-middle,Eastern Africa,360.6919956
2013,Lower-middle,Central Africa,312.93305100000003
2013,Lower-middle,Northern Africa,169.6843507475
2013,Lower-middle,Southern Africa,470.33762227999995
2013,Lower-middle,Western Africa,536.2043429457143
2013,Upper-middle,Eastern Africa,48.25365734
2013,Upper-middle,Central Africa,235.1908741
2013,Upper-middle,Northern Africa,77.58414963499999
2013,Upper-middle,Southern Africa,215.16575048750002
2014,Low,Eastern Africa,483.919848075
2014,Low,Central Africa,1116.1034049999998
2014,Low,Northern Africa,308.8127644
2014,Low,Southern Africa,273.5014989
2014,Low,Western Africa,585.4000986
2014,Lower-middle,Eastern Africa,346.000205875
2014,Lower-middle,Central Africa,293.5269924
2014,Lower-middle,Northern Africa,164.2172487975
2014,Lower-middle,Southern Africa,395.84238486000004
2014,Lower-middle,Western Africa,526.2906039071429
2014,Upper-middle,Eastern Africa,45.86372986
2014,Upper-middle,Central Africa,250.1641108
2014,Upper-middle,Northern Africa,78.861237925
2014,Upper-middle,Southern Africa,200.7399210375
2015,Low,Eastern Africa,466.6250843125
2015,Low,Central Africa,1078.28557615
2015,Low,Northern Africa,297.8966272
2015,Low,Southern Africa,268.14174475000004
2015,Low,Western Africa,554.136026
2015,Lower-middle,Eastern Africa,333.316260225
2015,Lower-middle,Central Africa,276.39016583333336
2015,Lower-middle,Northern Africa,158.3418488275
2015,Lower-middle,Southern Africa,341.70468628
2015,Lower-middle,Western Africa,519.1972894257143
2015,Upper-middle,Eastern Africa,46.48182753
2015,Upper-middle,Central Africa,230.67402585000002
2015,Upper-middle,Northern Africa,77.801520695
2015,Upper-middle,Southern Africa,164.7513570625
2016,Low,Eastern Africa,445.012888075
2016,Low,Central Africa,1047.85542145
2016,Low,Northern Africa,288.2060581
2016,Low,Southern Africa,240.82882465
2016,Low,Western Africa,515.5671826875
2016,Lower-middle,Eastern Africa,316.60796047499997
2016,Lower-middle,Central Africa,258.49957666666666
2016,Lower-middle,Northern Africa,152.9325057825
2016,Lower-middle,Southern Africa,307.10978994
2016,Lower-middle,Western Africa,505.5215187057143
2016,Upper-middle,Eastern Africa,46.9944495
2016,Upper-middle,Central Africa,215.55488065
2016,Upper-middle,Northern Africa,76.36590938
2016,Upper-middle,Southern Africa,131.36319574750001
2017,Low,Eastern Africa,563.8279909444444
2017,Low,Central Africa,1089.223072
2017,Low,Northern Africa,276.5923168
2017,Low,Southern Africa,219.825905
2017,Low,Western Africa,496.85572303749996
2017,Lower-middle,Eastern Africa,298.1512021
2017,Lower-middle,Central Africa,248.15216443333335
2017,Lower-middle,Northern Africa,149.30292069749999
2017,Lower-middle,Southern Africa,274.1485129
