year,income,Subregion,avg_gross_fixed_capital_pct_gdp,avg_foreign_transfers_pct_gdp
2007,Lower-middle,Western Africa,,0.1235610448228127
2007,Upper-middle,Eastern Africa,,0.00257883395899509
2007,Upper-middle,Central Africa,,0.0679072835488333
2007,Upper-middle,Northern Africa,,0.00035569755551572254
2007,Upper-middle,Southern Africa,,0.5035194636939581
2008,Low,Eastern Africa,,0.923450859684478
2008,Low,Central Africa,,0.23827835210668044
2008,Low,Northern Africa,,0.123236318554814
2008,Low,Southern Africa,,1.075197227773367
2008,Low,Western Africa,,0.810557782901266
2008,Lower-middle,Eastern Africa,,0.6396027510640617
2008,Lower-middle,Central Africa,,0.7211543343571706
2008,Lower-middle,Northern Africa,0.17360900504925,0.012766800017258887
2008,Lower-middle,Southern Africa,,0.6647348616397379
2008,Lower-middle,Western Africa,,0.10224003042508653
2008,Upper-middle,Eastern Africa,,0.0147695113151853
2008,Upper-middle,Central Africa,,0.0445265783172238
2008,Upper-middle,Northern Africa,,0.0006250454484484685
2008,Upper-middle,Southern Africa,,0.5068266868405106
2009,Low,Eastern Africa,,1.0170346762676898
2009,Low,Central Africa,,0.6832939791724559
2009,Low,Northern Africa,,0.211600789777595
2009,Low,Southern Africa,,1.1273056455032702
2009,Low,Western Africa,,0.9435618229232291
2009,Lower-middle,Eastern Africa,,0.6948846165499047
2009,Lower-middle,Central Africa,,0.49071961448980844
2009,Lower-middle,Northern Africa,0.2111179891645775,0.036185991878744106
2009,Lower-middle,Southern Africa,,0.8746762735342977
2009,Lower-middle,Western Africa,,0.13290840692757314
2009,Upper-middle,Eastern Africa,,3.18624815746119e-06
2009,Upper-middle,Central Africa,,0.0745532582755973
2009,Upper-middle,Northern Africa,,0.0017118940925636766
2009,Upper-middle,Southern Africa,,0.39944720299286196
2010,Low,Eastern Africa,0.34419775318872003,1.2278471065113366
2010,Low,Central Africa,,0.21369237241147399
2010,Low,Northern Africa,,0.133923610908048
2010,Low,Southern Africa,,1.5408394706071449
2010,Low,Western Africa,0.0214878207593406,0.8824673940911268
2010,Lower-middle,Eastern Africa,,0.8344385700733625
2010,Lower-middle,Central Africa,,0.4983906152354008
2010,Lower-middle,Northern Africa,0.24817120606065302,0.015534227026694035
2010,Lower-middle,Southern Africa,,1.1296228202720555
2010,Lower-middle,Western Africa,0.0816665083224428,0.14466735425987567
2010,Upper-middle,Eastern Africa,,0.0167201061939342
2010,Upper-middle,Central Africa,0.782171179700082,0.0463688972204207
2010,Upper-middle,Northern Africa,,0.001740121749126323
2010,Upper-middle,Southern Africa,,0.3547687211983329
2011,Low,Eastern Africa,0.09014791433278321,1.1803733535383796
2011,Low,Central Africa,0.560848997158445,0.3992192913206925
2011,Low,Northern Africa,,0.404647225105347
2011,Low,Southern Africa,,1.423246160309655
2011,Low,Western Africa,0.4985231047885245,0.9063378437230921
2011,Lower-middle,Eastern Africa,0.20099778034680518,0.7728084366879397
2011,Lower-middle,Central Africa,0.183628055527575,0.609494736401187
2011,Lower-middle,Northern Africa,0.12377364126349061,0.007379279598537869
2011,Lower-middle,Southern Africa,,1.0960506541465782
2011,Lower-middle,Western Africa,0.11968709241413827,0.16092926830453266
2011,Upper-middle,Eastern Africa,,0.000261190736775319
2011,Upper-middle,Central Africa,0.427178819765886,0.043430209008295
2011,Upper-middle,Northern Africa,,0.000745155592718553
2011,Upper-middle,Southern Africa,,0.3366862255637274
2012,Low,Eastern Africa,0.33050939320736533,0.9958540635703302
2012,Low,Central Africa,,0.47417023515719553
2012,Low,Northern Africa,,0.215236627428055
2012,Low,Southern Africa,,2.2476029396215997
2012,Low,Western Africa,0.286411364021883,0.8570339744191883
