year,income,Subregion,pct_desirable_elasticity,avg_health_elasticity
2008,Low,Northern Africa,0.0,-15.309229159804936
2008,Low,Southern Africa,100.0,15.184525106406623
2008,Low,Western Africa,87.5,6.6515361099965755
2008,Lower-middle,Eastern Africa,50.0,2.190983166541548
2008,Lower-middle,Central Africa,33.33333333333333,-48.72141825197395
2008,Lower-middle,Northern Africa,75.0,0.6300112150342561
2008,Lower-middle,Southern Africa,75.0,24.3081172917534
2008,Lower-middle,Western Africa,57.14285714285714,14.045887136097447
2008,Upper-middle,Central Africa,50.0,1.4692996466642463
2008,Upper-middle,Northern Africa,50.0,30.025803766227355
2008,Upper-middle,Southern Africa,50.0,1.1393948868517159
2009,High,Eastern Africa,100.0,6.2407305867229175
2009,Low,Eastern Africa,42.857142857142854,-1.9148771939651597
2009,Low,Central Africa,0.0,-1.7466621517598855
2009,Low,Northern Africa,0.0,-4.187812681017609
2009,Low,Southern Africa,0.0,-1.5869812127697505
2009,Low,Western Africa,62.5,-19359.632092240958
2009,Lower-middle,Eastern Africa,25.0,-0.4481468997322824
2009,Lower-middle,Central Africa,66.66666666666666,34.16042168239214
2009,Lower-middle,Northern Africa,75.0,3.590946308471405
2009,Lower-middle,Southern Africa,50.0,-5.199949609164158
2009,Lower-middle,Western Africa,42.857142857142854,-1.9456457421706261
2009,Upper-middle,Central Africa,0.0,-3.5347329970830863
2009,Upper-middle,Northern Africa,50.0,-0.14907238211289153
2009,Upper-middle,Southern Africa,50.0,1.1406943342801412
2010,High,Eastern Africa,100.0,9.721091041041989
2010,Low,Eastern Africa,71.42857142857143,2.0822700979353863
2010,Low,Central Africa,0.0,-1.5222037888508098
2010,Low,Northern Africa,0.0,-35.81629501746116
2010,Low,Southern Africa,50.0,0.7462461180801678
2010,Low,Western Africa,50.0,2.6590318380921873
2010,Lower-middle,Eastern Africa,50.0,0.8970835075410896
2010,Lower-middle,Central Africa,33.33333333333333,-131.3506149117397
2010,Lower-middle,Northern Africa,50.0,2.1182825938930705
2010,Lower-middle,Southern Africa,60.0,-2.624768406134355
2010,Lower-middle,Western Africa,42.857142857142854,3.6883091304801683
2010,Upper-middle,Central Africa,100.0,2.684842725125689
2010,Upper-middle,Northern Africa,100.0,3.649904117623585
2010,Upper-middle,Southern Africa,100.0,9.977081166432878
2011,High,Eastern Africa,0.0,-0.08127989860480159
2011,Low,Eastern Africa,28.57142857142857,31.688750149311527
2011,Low,Central Africa,50.0,-0.27634255999358404
2011,Low,Northern Africa,100.0,3.9878924006883993
2011,Low,Southern Africa,100.0,6.798773913646455
2011,Low,Western Africa,37.5,-16.89603794483917
2011,Lower-middle,Eastern Africa,75.0,23.010497497289627
2011,Lower-middle,Central Africa,66.66666666666666,-68.53473446285535
2011,Lower-middle,Northern Africa,50.0,-4.241264679668569
2011,Lower-middle,Southern Africa,40.0,-15.300767816801644
2011,Lower-middle,Western Africa,85.71428571428571,16.26982939693724
2011,Upper-middle,Central Africa,100.0,7.23544109504472
2011,Upper-middle,Northern Africa,50.0,13.970354668311122
2011,Upper-middle,Southern Africa,75.0,3.459654185011496
2012,High,Eastern Africa,100.0,29.594347538772922
2012,Low,Eastern Africa,42.857142857142854,-4.848833629402462
2012,Low,Central Africa,100.0,7.800550878723984
2012,Low,Northern Africa,100.0,1.7952235075271574
2012,Low,Southern Africa,100.0,20.623822137011608
2012,Low,Western Africa,62.5,1.5990478049644037
2012,Lower-middle,Eastern Africa,50.0,-1.9882723222266998
2012,Lower-middle,Central Africa,66.66666666666666,3.1098315123502425
2012,Lower-middle,Northern Africa,25.0,-8.851214008648885
2012,Lower-middle,Southern Africa,20.0,0.6133954002319263
2012,Lower-middle,Western Africa,57.14285714285714,2.934321690164052
2012,Upper-middle,Central Africa,50.0,-2.3766433939880325
2012,Upper-middle,Northern Africa,100.0,25.629753205760586
2012,Upper-middle,Southern Africa,25.0,-1.7223385544912162
2013,High,Eastern Africa,0.0,-0.6795849899749752
2013,Low,Eastern Africa,62.5,-0.3107016117213678
2013,Low,Central Africa,0.0,-14.27788938266024
2013,Low,Northern Africa,100.0,49.811057269405616
2013,Low,Southern Africa,100.0,11.435434138927913
