year,income,Subregion,pct_tax_above_50th,pct_tax_above_75th,pct_health_gdp_above_50th,pct_health_gdp_above_75th
2006,Lower-middle,Northern Africa,75.0,75.0,50.0,0.0
2006,Lower-middle,Southern Africa,75.0,25.0,75.0,50.0
2006,Lower-middle,Western Africa,42.857142857142854,28.57142857142857,0.0,0.0
2006,Upper-middle,Eastern Africa,100.0,100.0,0.0,0.0
2006,Upper-middle,Middle Africa,50.0,50.0,0.0,0.0
2006,Upper-middle,Northern Africa,0.0,0.0,0.0,0.0
2006,Upper-middle,Southern Africa,100.0,100.0,75.0,50.0
2007,Low,Eastern Africa,28.57142857142857,14.285714285714285,85.71428571428571,42.857142857142854
2007,Low,Middle Africa,50.0,0.0,50.0,0.0
2007,Low,Northern Africa,0.0,0.0,100.0,100.0
2007,Low,Southern Africa,0.0,0.0,50.0,50.0
2007,Low,Western Africa,37.5,0.0,75.0,12.5
2007,Lower-middle,Eastern Africa,50.0,0.0,75.0,25.0
2007,Lower-middle,Middle Africa,66.66666666666666,33.33333333333333,33.33333333333333,33.33333333333333
2007,Lower-middle,Northern Africa,75.0,50.0,50.0,0.0
2007,Lower-middle,Southern Africa,75.0,50.0,50.0,50.0
2007,Lower-middle,Western Africa,42.857142857142854,28.57142857142857,0.0,0.0
2007,Upper-middle,Eastern Africa,100.0,100.0,0.0,0.0
2007,Upper-middle,Middle Africa,50.0,0.0,0.0,0.0
2007,Upper-middle,Northern Africa,0.0,0.0,0.0,0.0
2007,Upper-middle,Southern Africa,100.0,100.0,75.0,75.0
2008,Low,Eastern Africa,28.57142857142857,14.285714285714285,57.14285714285714,42.857142857142854
2008,Low,Middle Africa,50.0,0.0,0.0,0.0
2008,Low,Northern Africa,0.0,0.0,100.0,0.0
2008,Low,Southern Africa,0.0,0.0,50.0,50.0
2008,Low,Western Africa,25.0,0.0,87.5,25.0
2008,Lower-middle,Eastern Africa,50.0,0.0,75.0,25.0
2008,Lower-middle,Middle Africa,66.66666666666666,33.33333333333333,33.33333333333333,33.33333333333333
2008,Lower-middle,Northern Africa,75.0,50.0,75.0,0.0
2008,Lower-middle,Southern Africa,75.0,50.0,75.0,50.0
2008,Lower-middle,Western Africa,57.14285714285714,14.285714285714285,0.0,0.0
2008,Upper-middle,Eastern Africa,100.0,100.0,0.0,0.0
2008,Upper-middle,Middle Africa,50.0,50.0,0.0,0.0
2008,Upper-middle,Northern Africa,0.0,0.0,0.0,0.0
2008,Upper-middle,Southern Africa,100.0,100.0,75.0,75.0
2009,Low,Eastern Africa,42.857142857142854,0.0,57.14285714285714,42.857142857142854
2009,Low,Middle Africa,0.0,0.0,50.0,0.0
2009,Low,Northern Africa,0.0,0.0,100.0,100.0
2009,Low,Southern Africa,100.0,0.0,100.0,50.0
2009,Low,Western Africa,25.0,0.0,62.5,25.0
2009,Lower-middle,Eastern Africa,50.0,25.0,75.0,0.0
2009,Lower-middle,Middle Africa,33.33333333333333,0.0,33.33333333333333,33.33333333333333
2009,Lower-middle,Northern Africa,75.0,75.0,50.0,0.0
2009,Lower-middle,Southern Africa,75.0,50.0,75.0,50.0
2009,Lower-middle,Western Africa,28.57142857142857,14.285714285714285,0.0,0.0
2009,Upper-middle,Eastern Africa,100.0,100.0,0.0,0.0
2009,Upper-middle,Middle Africa,100.0,50.0,0.0,0.0
2009,Upper-middle,Northern Africa,0.0,0.0,50.0,0.0
2009,Upper-middle,Southern Africa,100.0,100.0,75.0,75.0
2010,Low,Eastern Africa,28.57142857142857,14.285714285714285,85.71428571428571,42.857142857142854
2010,Low,Middle Africa,50.0,0.0,0.0,0.0
2010,Low,Northern Africa,0.0,0.0,100.0,0.0
2010,Low,Southern Africa,100.0,0.0,100.0,0.0
2010,Low,Western Africa,37.5,0.0,62.5,25.0
2010,Lower-middle,Eastern Africa,50.0,0.0,75.0,0.0
2010,Lower-middle,Middle Africa,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333
2010,Lower-middle,Northern Africa,75.0,50.0,50.0,25.0
2010,Lower-middle,Southern Africa,80.0,40.0,60.0,60.0
2010,Lower-middle,Western Africa,28.57142857142857,28.57142857142857,0.0,0.0
2010,Upper-middle,Eastern Africa,100.0,100.0,0.0,0.0
2010,Upper-middle,Middle Africa,50.0,0.0,0.0,0.0
2010,Upper-middle,Northern Africa,0.0,0.0,0.0,0.0
2010,Upper-middle,Southern Africa,100.0,100.0,75.0,75.0
2011,Low,Eastern Africa,28.57142857142857,14.285714285714285,71.42857142857143,42.857142857142854
2011,Low,Middle Africa,50.0,0.0,0.0,0.0
2011,Low,Northern Africa,0.0,0.0,100.0,0.0
2011,Low,Southern Africa,50.0,0.0,100.0,0.0
