year,income,Subregion,gini_public_health_exp
2009,Lower-middle,Northern Africa,0.3974771032877231
2009,Lower-middle,Southern Africa,0.358501966126207
2009,Lower-middle,Western Africa,0.5285094300150004
2009,Upper-middle,Eastern Africa,0.0
2009,Upper-middle,Middle Africa,0.025403028007690676
2009,Upper-middle,Northern Africa,0.11580231118538298
2009,Upper-middle,Southern Africa,0.1382992953975002
2010,Low,Eastern Africa,0.3204687060333016
2010,Low,Middle Africa,0.22899862581743746
2010,Low,Northern Africa,0.0
2010,Low,Southern Africa,0.04799138251539414
2010,Low,Western Africa,0.15545430709471297
2010,Lower-middle,Eastern Africa,0.32915747102340775
2010,Lower-middle,Middle Africa,0.2385570809085975
2010,Lower-middle,Northern Africa,0.410251497788106
2010,Lower-middle,Southern Africa,0.40632484904451793
2010,Lower-middle,Western Africa,0.540921807119445
2010,Upper-middle,Eastern Africa,0.0
2010,Upper-middle,Middle Africa,0.09763595853247753
2010,Upper-middle,Northern Africa,0.12693929620686428
2010,Upper-middle,Southern Africa,0.1353077331882886
2011,Low,Eastern Africa,0.3490383062626732
2011,Low,Middle Africa,0.2804277929695185
2011,Low,Northern Africa,0.0
2011,Low,Southern Africa,0.022950317271463794
2011,Low,Western Africa,0.1728600634949118
2011,Lower-middle,Eastern Africa,0.2834703323538297
2011,Lower-middle,Middle Africa,0.22105018342840133
2011,Lower-middle,Northern Africa,0.4081666192646658
2011,Lower-middle,Southern Africa,0.37015499170606336
2011,Lower-middle,Western Africa,0.5609705059432195
2011,Upper-middle,Eastern Africa,0.0
2011,Upper-middle,Middle Africa,0.11396114146818426
2011,Upper-middle,Northern Africa,0.010690403823511163
2011,Upper-middle,Southern Africa,0.14565884879624535
2012,Low,Eastern Africa,0.2672791213202954
2012,Low,Middle Africa,0.22392894262384178
2012,Low,Northern Africa,0.0
2012,Low,Southern Africa,0.12112361750178335
2012,Low,Western Africa,0.2034489433065534
2012,Lower-middle,Eastern Africa,0.28520116986372024
2012,Lower-middle,Middle Africa,0.2088147903350026
2012,Lower-middle,Northern Africa,0.3990402659581056
2012,Lower-middle,Southern Africa,0.34368031549659306
2012,Lower-middle,Western Africa,0.535971311237118
2012,Upper-middle,Eastern Africa,0.0
2012,Upper-middle,Middle Africa,0.03128303255052334
2012,Upper-middle,Northern Africa,0.14270603275213634
2012,Upper-middle,Southern Africa,0.11829379949782037
2013,Low,Eastern Africa,0.38752373081235025
2013,Low,Middle Africa,0.25247570858087154
2013,Low,Northern Africa,0.0
2013,Low,Southern Africa,0.09082628799904069
2013,Low,Western Africa,0.23226929407739516
2013,Lower-middle,Eastern Africa,0.28201161484983395
2013,Lower-middle,Middle Africa,0.2714467202831057
2013,Lower-middle,Northern Africa,0.39601598401332505
2013,Lower-middle,Southern Africa,0.32596996199424066
2013,Lower-middle,Western Africa,0.5344149400233453
2013,Upper-middle,Eastern Africa,0.0
2013,Upper-middle,Middle Africa,0.12468811060928298
2013,Upper-middle,Northern Africa,0.15083216267533306
2013,Upper-middle,Southern Africa,0.0864722973526717
2014,Low,Eastern Africa,0.381743434289709
2014,Low,Middle Africa,0.3050199864117551
2014,Low,Northern Africa,0.0
2014,Low,Southern Africa,0.09817094417474581
2014,Low,Western Africa,0.18091285976882165
2014,Lower-middle,Eastern Africa,0.30249559773247725
2014,Lower-middle,Middle Africa,0.25042939283690857
2014,Lower-middle,Northern Africa,0.3776031945610978
